2024-02-17 23:54:31,948 - Starting new HTTPS connection (1): statistik.bra.se:443
2024-02-17 23:54:32,232 - https://statistik.bra.se:443 "GET /solwebb/action/start?menykatalogid=1 HTTP/1.1" 200 None
2024-02-17 23:54:32,333 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/urval?menyid=37 HTTP/1.1" 200 None
2024-02-17 23:54:32,390 - Executing request 1/1230 for topic 37
2024-02-17 23:54:32,428 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/urval/vantapopup HTTP/1.1" 200 1084
2024-02-17 23:54:34,305 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/sok HTTP/1.1" 200 700
2024-02-17 23:54:36,844 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/resultat/dbfil HTTP/1.1" 200 None
2024-02-17 23:54:37,231 - Saving response for request 7677
2024-02-17 23:54:37,231 - Response content: Region;Brott;År;Period;Antal;/100 000 inv
Hela landet;3-7 kap. Brott mot person;1995;Feb;..;..;
Hela landet;3-7 kap. Brott mot person;1996;Apr;..;..;
Hela landet;3-7 kap. Brott mot person;1996;Maj;..;..;
Hela landet;3-7 kap. Brott mot person;2000;Sep;..;..;
Hela landet;3-7 kap. Brott mot person;2005;Jun;..;..;
Hela landet;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Hela landet;3-7 kap. Brott mot person;2006;Apr;..;..;
Hela landet;3-7 kap. Brott mot person;2008;Apr;..;..;
Hela landet;3-7 kap. Brott mot person;2010;Mar;..;..;
Hela landet;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Hela landet;3-7 kap. Brott mot person;2012;Maj;..;..;
Hela landet;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Hela landet;5 kap. Ärekränkningsbrott;1995;Feb;308;3;
Hela landet;5 kap. Ärekränkningsbrott;1996;Apr;368;4;
Hela landet;5 kap. Ärekränkningsbrott;1996;Maj;424;5;
Hela landet;5 kap. Ärekränkningsbrott;2000;Sep;454;5;
Hela landet;5 kap. Ärekränkningsbrott;2005;Jun;640;7;
Hela landet;5 kap. Ärekränkningsbrott;2005;Kvartal 1;1690;19;
Hela landet;5 kap. Ärekränkningsbrott;2006;Apr;741;8;
Hela landet;5 kap. Ärekränkningsbrott;2008;Apr;869;9;
Hela landet;5 kap. Ärekränkningsbrott;2010;Mar;1079;12;
Hela landet;5 kap. Ärekränkningsbrott;2010;Kvartal 2;2969;32;
Hela landet;5 kap. Ärekränkningsbrott;2012;Maj;1044;11;
Hela landet;5 kap. Ärekränkningsbrott;2013;Kvartal 2;3224;34;
Blekinge län;3-7 kap. Brott mot person;1995;Feb;..;..;
Blekinge län;3-7 kap. Brott mot person;1996;Apr;..;..;
Blekinge län;3-7 kap. Brott mot person;1996;Maj;..;..;
Blekinge län;3-7 kap. Brott mot person;2000;Sep;..;..;
Blekinge län;3-7 kap. Brott mot person;2005;Jun;..;..;
Blekinge län;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Blekinge län;3-7 kap. Brott mot person;2006;Apr;..;..;
Blekinge län;3-7 kap. Brott mot person;2008;Apr;..;..;
Blekinge län;3-7 kap. Brott mot person;2010;Mar;..;..;
Blekinge län;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Blekinge län;3-7 kap. Brott mot person;2012;Maj;..;..;
Blekinge län;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Blekinge län;5 kap. Ärekränkningsbrott;1995;Feb;3;2;
Blekinge län;5 kap. Ärekränkningsbrott;1996;Apr;9;6;
Blekinge län;5 kap. Ärekränkningsbrott;1996;Maj;8;5;
Blekinge län;5 kap. Ärekränkningsbrott;2000;Sep;4;3;
Blekinge län;5 kap. Ärekränkningsbrott;2005;Jun;9;6;
Blekinge län;5 kap. Ärekränkningsbrott;2005;Kvartal 1;35;23;
Blekinge län;5 kap. Ärekränkningsbrott;2006;Apr;12;8;
Blekinge län;5 kap. Ärekränkningsbrott;2008;Apr;17;11;
Blekinge län;5 kap. Ärekränkningsbrott;2010;Mar;15;10;
Blekinge län;5 kap. Ärekränkningsbrott;2010;Kvartal 2;41;27;
Blekinge län;5 kap. Ärekränkningsbrott;2012;Maj;13;9;
Blekinge län;5 kap. Ärekränkningsbrott;2013;Kvartal 2;41;27;
Karlshamn kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Karlshamn kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Karlshamn kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Karlshamn kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Karlshamn kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
